score,text,critic,date,title,platform
225,8,1979 Revolution: Black Friday is a game base on true and historical story. this game look a lot like a Telltale game. You make your own interaction between character and taking pictures. It's a good looking game with a  really interesting true story. I would definitely recommend to buy this game.,FredSchwen,"Aug 16, 2018",1979 Revolution: Black Friday,Switch
226,7,"The game has some flaws to be sure, with occasionally awkward controls and character animations, but the spirit behind the storytelling kept me going. I was grateful to have played it if only to experience and relate to a story and piece of history I previously knew nothing about.",Mintendo,"Jan 23, 2020",1979 Revolution: Black Friday,Switch
227,9,"man muss dem Kind einen Namen geben, und nun steigen wir dem Kino auf das Dach.",jens76,"Jan 13, 2023",1979 Revolution: Black Friday,Switch
228,4,"Cons: Poor controls, several glitches/bugs, occasionally poor frame rate, pointless quick time events, terrible graphics, choices seemed to barely alter the story, generally boring bland stereotypes for characters and a mediocre story which just ends unceremoniously (kind of glad it's over to be frank)Pros: Interesting setting, pretty good voice acting, thankfully short (about 2 hours)Overall I would recommend giving this game a miss. If your interested in the topic maybe buy it when on sale other than that avoid completely or play a better game of the same style (basically an telltale game).",Jax_37,"Mar  7, 2020",1979 Revolution: Black Friday,Switch
229,0,"It's not a game, waste of money, just a bring political story that you press a button once in a while in between the talks and boring story.",maxima2021,"Jan 23, 2021",1979 Revolution: Black Friday,Switch
230,8,"It’s a good game. It’s a narrative tale of an event on Iran’s modern history. It’s well narrated and exposed. Devs did a nice job. Don’t expect adventure or puzzles or whatever. The description is clear. And for what it is , it’s well done.",JAG7,"Aug 11, 2021",1979 Revolution: Black Friday,Switch
231,2,"Completed the game in 1-2 hours. It left me wanting more, but not in a good way. Looking at the high reviews by critics thinking that they are suckers that got hit by nostalgia up front and gave high ratings, but normal user experience will be to buy this game and sit down and be disappointed.First, the “story” was too short. I have story in quotes because there was a vague little story about a high school kid talking very vaguely about how his normal dull life, but nothing happened. At one point there was even a “new girl at school” character, but that didn’t go anywhere. Overall a very weak non-existent story with character spouting out vague things that we can probably all relate to at some point on our lives. Second, the characters voice was weak and kind of low, and this is a big chunk of the game. Wish it were louder/clearer. The “mini games” were cool but I thought they were supposed to have a significant twist (according to kickstarter description) while playing them, but that wasn’t there. I call them mini games because some felt like you just played one level of a main 1980s nostalgia game, then it was over. It was cool to play the mini games but they were too short and although I had nostalgia for those old gams I played in the past, I wondered if newer generation would appreciate this and wondered if older generation like me would feel suckered for how quick it was over.Finally, this isn’t a spoiler but at the very end of the game instead of some indicator that the game is over you get a “to be continued” screen. At first I thought it was a joke, like the game was going to pull a fast one like “to be continued.....starting now” but nope, it actually ended. Turned out it was a huge joke after all because what are we continuing? There was absolutely no problem introduced in the first game to continue. All that being said and zero replayability leaves me not recommending this game to anyone. I paid close to 20 dollars for this at kickstarter, which I don’t mind overpaying to help make someone kickstarter project come through, but at the current price tag of 10 dollars I urge you to pass. Maybe if the game is on sale for 2-3 dollars. Even that might be a bit much since in the end this felt like playing a demo for a fuller game and you don’t pay 10 dollars for a game that feels like a demo with no story and no real challenge. Sorry, but nostalgia doesn’t carry a game and I urge all to pass or be let down in the end.",BusinessCat,"Feb  6, 2020",198X,Switch
232,2,"This was barely an hour of gameplay. You play one level of several different games as you listen to the main character narrate their lives and how bad it is after dear old Dad died. Or left. It's vague. The whole game is vague. You get introduced to people, concepts, plots, all that lead into nothing. A big ol' ""To Be Continued"" after only an hour of gameplay that was literally just 5 different games strung into one. There's no satisfaction to this game in the slightest as it feels like you just got started and warmed up to the concept, looking forward to an interesting game that somehow is going to twist up the play styles of the games, and you're excited for this neat indy game and how it started. Then credits roll. Save yourself some money and buy the terribad book Player One instead, It's got all of the references and nostalgia and it's just as disappointing, just cheaper.",Sargepepper,"Feb  3, 2020",198X,Switch
233,4,"I backed this game on Kickstarter. I've been waiting for this to release for about 2 years. It has even been pushed back once. All that being said I was under the impression that it would be a much longer and more intense package due to the backer updates I received. However, all we got was roughly an hour and a half of gameplay. You play as ""Kid"", as she plays one level of some arcade games as she narrates her life. There are so many questions that aren't answered, Like why her family split, where are her friends, what happens to this girl she mentions in school, and so much more. Yet after about an hour, all we get is a ""To Be Continued..."". Suffice to say... I'm highly disappointed. It Game could have been great. Maybe in the Top indie game of the year discussion but I guess not. Please don't buy...",BoolKidd,"Feb  5, 2020",198X,Switch
234,8,"Is VERY short (1-2h), so don't buy it unless it has a heavy discount. I really like the visuals and the music, each small game takes you back to a different type of arcade game. The story seems to be put there just to add a bit of content, to be honest I'd love to see a continuation or maybe an expansion.. each of the arcade games could have been complete games if they lasted more than 4 minutes",mal957,"Jul  3, 2020",198X,Switch
235,10,"It's perfectly possible to finish 198X in under 2 hours. This is not a particularly long game, but the same could be said about Journey, Portal, Superhot, The Stanley Parable, Dear Esther, Gone Home and countless other short, modern classics. When it comes down to it, it's not the lenght that counts but the experience itself and I can honestly say that this one will stay with me til the day I die. The sprite work is amazing, the soundtrack is absolutely perfect and the melancholic 80s atmosphere is takes me back to my own youth. Do yourself a favor and buy 198X. It's not expensive. It's not lengthy. But it's a ride like none other.",FYM,"Feb  6, 2020",198X,Switch
